area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Jan,Talisay,2 BHK,KPiteEl,1170,2,2,5865000
Super built-up  Area,Ready To Move,Sipalay,3 BHK,ViistLa,2000,3,2,5865000
Super built-up  Area,Ready To Move,Santiago,3 BHK,GMown E,1710,3,2,5865000
Super built-up  Area,Ready To Move,Carcar,2 BHK,,1250,2,2,5865000
Plot  Area,Ready To Move,Quezon City,6 Bedroom,Srshq T,782,4,2,5865000
Super built-up  Area,Ready To Move,Canlaon,3 BHK,Niara S,1660,3,2,5865000
Super built-up  Area,Ready To Move,Dapitan,3 BHK,MNnia E,1705,3,2,5865000
Built-up  Area,Ready To Move,Santo Tomas,3 BHK,Inulat ,1350,2,3,5865000
Super built-up  Area,Ready To Move,Dipolog,3 BHK,,1820,3,2,5865000
Super built-up  Area,18-Jul,Muntinlupa,2 BHK,DSnjh S,1760,2,1,5865000
Super built-up  Area,Ready To Move,San Fernando,2 BHK,,1473,2,1,5865000
Plot  Area,Ready To Move,Imus,7 Bedroom,,2456,7,2,5865000
Super built-up  Area,Ready To Move,Ormoc,3 BHK,Avine A,1635,3,3,5865000
Super built-up  Area,Ready To Move,Urdaneta,3 BHK,SLnssPr,1419,3,2,5865000
Super built-up  Area,Ready To Move,Dagupan,3 BHK,Anensva,1650,3,2,5865000
Super built-up  Area,Ready To Move,Puerto Princesa,3 BHK,PrityTr,2000,3,2,5865000
Built-up  Area,Ready To Move,Caloocan,3 BHK,BrdgeNo,1310,2,1,5865000
Super built-up  Area,Ready To Move,Digos,3 BHK,LGlarAs,1665,3,,5865000
Super built-up  Area,Ready To Move,Bago,3 BHK,,2000,3,2,5865000
Super built-up  Area,Ready To Move,Borongan,2 BHK,Soiniy ,1180,2,2,5865000
Super built-up  Area,Ready To Move,Mati,3 BHK,,1653,3,2,5865000
Built-up  Area,Ready To Move,Tanauan,3 BHK,Bregae ,1427,2,,5865000
Plot  Area,Ready To Move,Iloilo City,5 Bedroom,Srarkha,1200,5,2,5865000
Super built-up  Area,Ready To Move,Cabadbaran,3 BHK,Hiatei ,1423,2,2,5865000
Super built-up  Area,Ready To Move,Pagadian,2 BHK,Prood P,1432,2,1,5865000
Plot  Area,18-May,Sagay,4 Bedroom,G conTh,1200,4,1,5865000
Built-up  Area,Ready To Move,Toledo,7 Bedroom,,2875,7,,5865000
Built-up  Area,Ready To Move,Baybay,3 BHK,BSian M,1740,3,3,5865000
Plot  Area,Ready To Move,Marikina,6 Bedroom,,1200,6,0,5865000
Super built-up  Area,18-Apr,Antipolo,3 BHK,,1430,3,1,5865000
Super built-up  Area,Ready To Move,Manila,3 BHK,GRarken,1426,3,2,5865000
Super built-up  Area,Ready To Move,Himamaylan,3 BHK,,1600,3,1,5865000
Super built-up  Area,Ready To Move,Iriga,3 BHK,,1900,3,2,5865000
Super built-up  Area,Ready To Move,Masbate,4 BHK,Bhmesy ,2150,3,2,5865000
Super built-up  Area,Ready To Move,Valenzuela,2 BHK,Shthi S,1362,2,3,5865000
Super built-up  Area,Ready To Move,Cauayan,3 BHK,Saentva,1500,3,2,5865000
Super built-up  Area,Ready To Move,Tangub,2 BHK,Tiitela,1100,2,2,5865000
Super built-up  Area,Ready To Move,Surigao,3 BHK,,1648,3,2,5865000
Super built-up  Area,Ready To Move,Zamboanga City,2 BHK,,1379,2,1,5865000
Carpet  Area,Ready To Move,Oroquieta,3 BHK,Prncyrn,1470,2,1,5865000
Super built-up  Area,Ready To Move,Mabalacat,3 BHK,GrrvaGr,1783,3,3,5865000
Built-up  Area,Ready To Move,San Pablo,3 BHK,,1490,3,0,5865000
Super built-up  Area,Ready To Move,San Jose,3 BHK,,1405,2,1,5865000
Super built-up  Area,19-Jan,Batac,3 BHK,,1260,2,2,5868450
Super built-up  Area,19-Jan,Malolos,3 BHK,DLhtsnd,1260,2,2,5868450
Built-up  Area,Ready To Move,Naga,3 BHK,Vimesar,1662,3,3,5871900
Super built-up  Area,18-Mar,Laoag,3 BHK,,1618 - 1929,,,5873625
Super built-up  Area,Ready To Move,Cadiz,3 BHK,Shitt S,1820,3,2,5878800
Super built-up  Area,19-Mar,Victorias,3 BHK,SNdri N,1318,2,1,5884320
Built-up  Area,Ready To Move,Tabaco,3 BHK,RMaanSa,1315,2,1,5892600
Super built-up  Area,Ready To Move,Malaybalay,3 BHK,Unm 2El,1820,3,2,5892600
Built-up  Area,Ready To Move,Cagayan de Oro,2 BHK,,1095,2,1,5893290
Built-up  Area,Ready To Move,Kidapawan,3 BHK,Prersis,1662,3,2,5899500
Super built-up  Area,Ready To Move,Malabon,3 BHK,,1820,3,2,5899500
Super built-up  Area,Ready To Move,Escalante,3 BHK,Saityat,1650,3,2,5899500
Super built-up  Area,Ready To Move,Iligan,3 BHK,BSian M,1650,3,2,5899500
Super built-up  Area,Ready To Move,Tagum,2 BHK,,1258,2,1,5899500
Super built-up  Area,Ready To Move,Koronadal,2 BHK,Prasa W,1260,2,2,5899500
Super built-up  Area,Ready To Move,Tagbilaran,3 BHK,,1885,3,2,5900880
Super built-up  Area,21-Mar,Angeles,3 BHK,,1711,3,3,5907090
Super built-up  Area,21-Dec,Meycauayan,3 BHK,JKmesHo,1732,3,1,5915370
Super built-up  Area,21-Nov,Palayan,3 BHK,BrriaLu,1732,3,3,5915370
Super built-up  Area,21-Dec,Lapu-Lapu,3 BHK,DSerste,1732,3,1,5915370
Super built-up  Area,Ready To Move,Tagaytay,3 BHK,Neite T,1354,3,1,5924340
Super built-up  Area,Ready To Move,Isabela,3 BHK,Prlla C,1600,3,2,5934000
Super built-up  Area,Ready To Move,La Carlota,3 BHK,,1820,2,3,5934000
Super built-up  Area,Ready To Move,Ilagan,3 BHK,,1535,3,2,5934000
Built-up  Area,Ready To Move,Davao City,2 BHK,,1170,2,2,5934000
Super built-up  Area,18-Apr,Candon,2 BHK,,1193,2,1,5934000
Super built-up  Area,Ready To Move,Baguio,3 BHK,,1429,3,3,5934000
Built-up  Area,Ready To Move,Guihulngan,4 BHK,AsNowre,1850,4,2,5934000
Super built-up  Area,Ready To Move,Valencia,2 BHK,GoilsDa,1470,2,2,5934000
Plot  Area,Ready To Move,Cebu City,5 Bedroom,,600,3,1,5934000
Super built-up  Area,Ready To Move,Cavite City,3 BHK,,1535,3,2,5934000
Super built-up  Area,Ready To Move,Bayugan,2 BHK,,1350,2,1,5934000
Plot  Area,Ready To Move,General Santos,4 Bedroom,SoechHa,800,4,2,5934000
Super built-up  Area,Ready To Move,Taguig,2 BHK,Raesta ,1322,2,2,5934000
Built-up  Area,Ready To Move,Batangas,2 BHK,,1170,2,2,5934000
Super built-up  Area,20-Dec,Mandaluyong,3 BHK,,1482,3,2,5934000
Super built-up  Area,Ready To Move,Kabankalan,2 BHK,,1390,2,2,5934000
Super built-up  Area,Ready To Move,Bislig,2 BHK,SSthamh,1343,2,2,5934000
Super built-up  Area,18-May,El Salvador,2 BHK,VRowsa ,1199,2,1,5934000
Super built-up  Area,Ready To Move,Santa Rosa,3 BHK,DSvar S,1556,3,2,5934000
Plot  Area,Ready To Move,Tanjay,4 Bedroom,MauilTr,1200,4,2,5934000
Plot  Area,Ready To Move,Ligao,5 Bedroom,Maidsr ,1200,6,0,5934000
Super built-up  Area,21-Jun,Olongapo,2 BHK,Sutesga,1180,2,1,5934000
Super built-up  Area,Ready To Move,Bayawan,2 BHK,,1367,2,2,5934000
Super built-up  Area,Ready To Move,Pasig,2 BHK,Taonte ,1200,2,,5934000
Built-up  Area,18-Dec,San Pedro,2 BHK,,1336,2,1,5934000
Super built-up  Area,Ready To Move,Tarlac City,2 BHK,Veyalin,980,2,1,5934000
Built-up  Area,Ready To Move,Tacurong,4 BHK,,1905,3,,5934000
Super built-up  Area,Ready To Move,Bogo,3 BHK,RInceeg,1700,2,2,5934000
Built-up  Area,Ready To Move,Naga,2 BHK,Soazak ,1308,2,1,5934000
Super built-up  Area,Ready To Move,Calapan,3 BHK,,1672,3,2,5934000
Built-up  Area,Ready To Move,Balanga,3 BHK,Suise S,1400,2,2,5934000
Super built-up  Area,18-Apr,San Fernando,2 BHK,Prtates,1371,2,1,5934000
Super built-up  Area,Ready To Move,Butuan,3 BHK,Panorse,1684,3,2,5934000
Plot  Area,Ready To Move,Makati,3 Bedroom,Puallhi,600,3,3,5934000
Super built-up  Area,Ready To Move,Panabo,3 BHK,,1229,3,1,5936070
Super built-up  Area,Ready To Move,Silay,3 BHK,GrrvaGr,1655,3,2,5938140
Super built-up  Area,19-Mar,San Carlos,3 BHK,PuandHi,1332,2,1,5942280
Super built-up  Area,18-Feb,Danao,2 BHK,Naiewre,1198,2,1,5951940
Super built-up  Area,19-Dec,Trece Martires,2 BHK,Taonte ,1245,2,1,5953320
Super built-up  Area,Ready To Move,Alaminos,3 BHK,,1650,3,3,5965050
Super built-up  Area,Ready To Move,Tandag,3 BHK,,1750,3,3,5968500
Super built-up  Area,18-Apr,Bacolod,3 BHK,,1396,2,1,5969190
Super built-up  Area,Ready To Move,Catbalogan,3 BHK,Owlotou,1445,3,1,5972640
Super built-up  Area,Ready To Move,Legazpi,3 BHK,,1665,3,2,5974020
Super built-up  Area,Ready To Move,Gingoog,3 BHK,,1665,3,2,5974020
Super built-up  Area,Ready To Move,Sorsogon City,3 BHK,,1665,3,2,5974020
Super built-up  Area,18-Apr,Tabuk,2 BHK,i1rtsCo,1333,2,1,5978850
Super built-up  Area,Ready To Move,Vigan,2 BHK,,1175,2,2,5980920
Super built-up  Area,Ready To Move,Roxas,3 BHK,Maunt M,1445,2,2,5981610
Super built-up  Area,Ready To Move,Lamitan,3 BHK,Rosha I,1550,3,1,5989200
Super built-up  Area,Ready To Move,Gapan,3 BHK,,1640,3,1,5989200
Super built-up  Area,Ready To Move,Lucena,1 BHK,Klark L,620,1,1,5989200
Super built-up  Area,Ready To Move,Dumaguete,3 BHK,,1665,3,2,5996790
Super built-up  Area,Ready To Move,Passi,3 BHK,,1665,3,2,5996790
Super built-up  Area,18-Oct,Samal,3 BHK,,1705,2,1,6000240
Super built-up  Area,Ready To Move,Calbayog,2 BHK,Prone M,1330,2,1,6001620
Super built-up  Area,Ready To Move,Calamba,2 BHK,Preaunt,1359,2,1,6003000
Plot  Area,Ready To Move,Ozamiz,3 Bedroom,Goted U,1500,2,1,6003000
Super built-up  Area,Ready To Move,Tuguegarao,2 BHK,,1282,2,2,6003000
Super built-up  Area,18-Oct,General Trias,3 BHK,MaitySe,1482,2,1,6003000
Super built-up  Area,Ready To Move,Navotas,2 BHK,GrrvaGr,1290,2,1,6003000
Plot  Area,Ready To Move,Mandaue,3 Bedroom,,1500,3,1,6003000
Super built-up  Area,Ready To Move,Talisay,3 BHK,,1525,2,2,6003000
Super built-up  Area,22-Jun,San Carlos,2 BHK,Yaenti ,1108,2,1,6003000
Super built-up  Area,Ready To Move,Maasin,2 BHK,Bhmesy ,1275,2,1,6003000
Super built-up  Area,Ready To Move,Pasay,2 BHK,,1281,2,2,6003000
Plot  Area,Ready To Move,San Jose del Monte,4 Bedroom,,1200,3,1,6003000
Super built-up  Area,Ready To Move,Cabanatuan,3 BHK,Viissmi,1450,2,2,6003000
Super built-up  Area,18-Oct,Tayabas,2 BHK,ShdhiSa,1232,2,1,6003000
Built-up  Area,Ready To Move,Lipa,3 BHK,,1335,2,1,6003000
Plot  Area,18-Apr,Tacloban,4 Bedroom,SaireSa,600,4,2,6003000
Super built-up  Area,Ready To Move,Marawi,3 BHK,SoniaEt,1419,2,3,6003000
Super built-up  Area,19-Mar,Bais,2 BHK,Arcia S,1232,2,1,6003000
Plot  Area,Ready To Move,Cabuyao,3 Bedroom,Koncyad,1280,3,0,6003000
Built-up  Area,Ready To Move,Bacoor,4 Bedroom,Thessrm,1500,2,0,6003000
Super built-up  Area,Ready To Move,Cotabato City,3 BHK,,1370,2,2,6003000
Super built-up  Area,Ready To Move,San Juan,3 BHK,Siestr ,1458,2,2,6003000
Super built-up  Area,Ready To Move,Talisay,2 BHK,,1070,2,1,6003000
Super built-up  Area,Ready To Move,Sipalay,3 BHK,Rie 2ri,1460,2,2,6003000
Super built-up  Area,Ready To Move,Santiago,3 BHK,PrinePr,1645,3,2,6003000
Super built-up  Area,Ready To Move,Carcar,4 BHK,,1530,3,3,6003000
Super built-up  Area,Ready To Move,Quezon City,2 BHK,,1368,2,3,6003000
Super built-up  Area,20-Dec,Canlaon,2 BHK,,1451,2,1,6003000
Super built-up  Area,Ready To Move,Dapitan,3 BHK,Adeatlm,1350,2,1,6003690
Super built-up  Area,22-Jun,Santo Tomas,2 BHK,,1108,2,1,6036120
Super built-up  Area,Ready To Move,Dipolog,2 BHK,MSanaer,1352,2,2,6037500
Super built-up  Area,Ready To Move,Muntinlupa,3 BHK,,1645,3,2,6037500
Super built-up  Area,Ready To Move,San Fernando,3 BHK,Saageat,1843,3,1,6040260
Super built-up  Area,Ready To Move,Imus,3 BHK,,1360 - 1890,,,6052680
Super built-up  Area,18-Apr,Ormoc,2 BHK,SRgio V,1430,2,2,6058200
Super built-up  Area,Ready To Move,Urdaneta,3 BHK,,1665,3,2,6072000
Super built-up  Area,Ready To Move,Dagupan,3 BHK,Vaodssh,1909,3,2,6072000
Built-up  Area,Ready To Move,Puerto Princesa,3 BHK,,1760,3,2,6072000
Built-up  Area,Ready To Move,Caloocan,3 BHK,,1650,3,2,6072000
Super built-up  Area,Ready To Move,Digos,3 BHK,Srasy F,1515,3,3,6072000
Plot  Area,Ready To Move,Bago,7 Bedroom,,925,7,3,6072000
Super built-up  Area,Ready To Move,Borongan,3 BHK,,1585,3,2,6072000
Super built-up  Area,Ready To Move,Mati,3 BHK,,1595,3,3,6072000
Super built-up  Area,18-May,Tanauan,3 BHK,,1600,3,2,6072000
Super built-up  Area,Ready To Move,Iloilo City,3 BHK,,1980,3,2,6072000
Built-up  Area,Ready To Move,Cabadbaran,3 BHK,Prllsan,1500,3,2,6072000
Super built-up  Area,Ready To Move,Pagadian,3 BHK,,1692,3,2,6072000
Built-up  Area,Ready To Move,Sagay,3 BHK,Miiewa ,1570,3,2,6072000
Built-up  Area,Ready To Move,Toledo,3 BHK,Aklia R,1920,2,1,6072000
Super built-up  Area,Ready To Move,Baybay,3 BHK,Saive L,1400,2,1,6072000
Plot  Area,Ready To Move,Marikina,4 Bedroom,GrrvaGr,1125,2,1,6072000
Super built-up  Area,Ready To Move,Antipolo,3 BHK,Nihtsss,1460,3,2,6072000
Carpet  Area,Ready To Move,Manila,3 BHK,Sabixtt,1700,3,2,6072000
Super built-up  Area,Ready To Move,Himamaylan,3 BHK,PrstaTe,1490,2,3,6072000
Super built-up  Area,22-Jun,Iriga,2 BHK,DNeremo,1112,2,1,6072000
Built-up  Area,Ready To Move,Masbate,3 BHK,,1640,3,3,6072000
Super built-up  Area,Ready To Move,Valenzuela,3 BHK,VSomepi,1627.86,3,2,6072000
Super built-up  Area,Ready To Move,Cauayan,3 BHK,Javasi ,1700,3,3,6072000
Super built-up  Area,Ready To Move,Tangub,3 BHK,G conTh,1991,4,2,6072000
Super built-up  Area,18-Mar,Surigao,1 BHK,,575,1,1,6072000
Super built-up  Area,18-Apr,Zamboanga City,2 BHK,Brway G,1600,3,2,6072000
Plot  Area,Ready To Move,Oroquieta,3 Bedroom,,1500,3,2,6072000
Super built-up  Area,Ready To Move,Mabalacat,3 BHK,PuineSu,1850,3,2,6072000
Super built-up  Area,Ready To Move,San Pablo,2 BHK,VDarmlo,1500,2,2,6072000
Super built-up  Area,Ready To Move,San Jose,3 BHK,MJeusyl,1800,3,2,6072000
Super built-up  Area,Ready To Move,Batac,3 BHK,Krshi G,2400,3,3,6072000
Plot  Area,Ready To Move,Malolos,4 Bedroom,Emine P,1440,4,0,6072000
Plot  Area,Ready To Move,Naga,3 Bedroom,Salisal,800,4,0,6072000
Super built-up  Area,Ready To Move,Laoag,3 BHK,,1850,2,2,6072000
Plot  Area,Ready To Move,Cadiz,4 Bedroom,Gamesti,750,4,0,6072000
Super built-up  Area,Ready To Move,Victorias,2 BHK,Brony H,1220,2,3,6072000
Super built-up  Area,Ready To Move,Tabaco,3 BHK,,1835,3,3,6072000
Super built-up  Area,Ready To Move,Malaybalay,2 BHK,,1331,2,1,6072000
Super built-up  Area,Ready To Move,Cagayan de Oro,3 BHK,Goeesem,1412,2,3,6072000
Built-up  Area,19-Dec,Kidapawan,3 Bedroom,Eladero,1830,3,1,6072000
Super built-up  Area,19-Mar,Malabon,2 BHK,StodsWa,1232,2,1,6072000
Super built-up  Area,Ready To Move,Escalante,3 BHK,,1595,3,2,6072000
Super built-up  Area,Ready To Move,Iligan,3 BHK,PrityTr,1374,2,2,6072000
Built-up  Area,Ready To Move,Tagum,3 BHK,Adeatlm,1492,3,1,6072000
Plot  Area,Ready To Move,Koronadal,3 Bedroom,,2500,3,1,6072000
Built-up  Area,Ready To Move,Tagbilaran,3 BHK,Macanr ,1600,2,2,6072000
Super built-up  Area,Ready To Move,Angeles,3 BHK,Bhe 2ko,1843,3,2,6072000
Built-up  Area,Ready To Move,Meycauayan,3 BHK,Shestlo,1491,3,1,6072000
Super built-up  Area,Ready To Move,Palayan,2 BHK,,1495,3,3,6072000
Super built-up  Area,Ready To Move,Lapu-Lapu,3 BHK,,1570,3,3,6072000
Super built-up  Area,Ready To Move,Tagaytay,3 BHK,,1719.3,2,2,6072000
Super built-up  Area,Ready To Move,Isabela,3 BHK,Srntsha,1465,2,2,6072000
Super built-up  Area,19-Dec,La Carlota,2 BHK,ViistLa,1350,2,1,6072000
Super built-up  Area,18-Mar,Ilagan,3 BHK,Naepa D,1780,3,2,6072000
Super built-up  Area,Ready To Move,Davao City,3 BHK,,1489,3,2,6072000
Super built-up  Area,Ready To Move,Candon,4 BHK,,2400,4,1,6072000
Built-up  Area,Ready To Move,Baguio,3 BHK,SoitaCa,1275,2,2,6072000
Super built-up  Area,Ready To Move,Guihulngan,2 BHK,Pardsri,1310,2,1,6072000
Super built-up  Area,18-Dec,Valencia,2 BHK,ManceEl,1244,2,2,6072000
Built-up  Area,Ready To Move,Cebu City,6 Bedroom,,2500,6,1,6072000
Super built-up  Area,Ready To Move,Cavite City,3 BHK,,1835,3,3,6072000
Super built-up  Area,Ready To Move,Bayugan,3 BHK,Dhalsh ,1500,3,2,6072000
Plot  Area,Ready To Move,General Santos,5 Bedroom,SNnia E,750,3,1,6072000
Super built-up  Area,Ready To Move,Taguig,3 BHK,Gopia O,1636,3,2,6072000
Built-up  Area,Ready To Move,Batangas,2 BHK,Saandvi,1370,2,2,6072000
Super built-up  Area,Ready To Move,Mandaluyong,2 BHK,Reverve,1280,2,1,6072000
Super built-up  Area,Ready To Move,Kabankalan,2 BHK,,1290,2,2,6072000
Super built-up  Area,21-Jul,Bislig,3 BHK,,1450 - 1950,3,0,6085800
Plot  Area,18-May,El Salvador,1 Bedroom,Sonue A,588,1,0,6085800
Super built-up  Area,Ready To Move,Santa Rosa,3 BHK,,1565,3,2,6106500
Super built-up  Area,Ready To Move,Tanjay,2 BHK,Prarkun,1180,2,2,6106500
Super built-up  Area,Ready To Move,Ligao,2 BHK,,1165,2,2,6106500
Super built-up  Area,19-Sep,Olongapo,3 BHK,ETens G,1450,3,1,6113400
Super built-up  Area,17-Oct,Bayawan,3 BHK,PrityTr,1470,2,1,6116160
Super built-up  Area,21-Mar,Pasig,2 BHK,Wiaysld,1251,2,1,6122370
Carpet  Area,18-Dec,San Pedro,3 BHK,Inaadd ,1053.4,3,1,6134790
Built-up  Area,18-Jun,Tarlac City,3 BHK,DSvar S,1798,3,2,6141000
Super built-up  Area,19-Dec,Tacurong,3 BHK,,1469,3,1,6141000
Super built-up  Area,Ready To Move,Bogo,2 BHK,,1232,2,2,6141000
Super built-up  Area,Ready To Move,Naga,3 BHK,,1626,3,3,6141000
Super built-up  Area,19-Jul,Calapan,2 BHK,DSgmax ,1296,2,1,6141000
Super built-up  Area,18-Jan,Balanga,3 BHK,PrarePa,1571,3,2,6141000
Plot  Area,Ready To Move,San Fernando,4 Bedroom,Eladero,2800,4,2,6141000
Super built-up  Area,19-Jul,Butuan,3 BHK,,1536,3,1,6141000
Super built-up  Area,Ready To Move,Makati,3 BHK,MyhtsHe,1476,3,0,6141000
Built-up  Area,Ready To Move,Panabo,7 Bedroom,NDpalSe,600,7,3,6141000
Built-up  Area,Ready To Move,Silay,3 BHK,Asuilnc,1335,3,2,6141000
Super built-up  Area,Ready To Move,San Carlos,2 BHK,,1350,2,1,6141000
Super built-up  Area,22-Jun,Danao,2 BHK,Saacela,1132,2,1,6141000
Super built-up  Area,19-Mar,Trece Martires,2 BHK,MaidoPl,1232,2,2,6141000
Super built-up  Area,Ready To Move,Alaminos,3 BHK,GolusLi,1850,2,2,6141000
Super built-up  Area,19-Dec,Tandag,3 BHK,GMilse ,1469,3,1,6141000
Super built-up  Area,Ready To Move,Bacolod,2 BHK,SMuilan,1438,2,,6141000
Super built-up  Area,19-Jul,Catbalogan,2 BHK,Srldsri,1296,2,1,6141000
Super built-up  Area,Ready To Move,Legazpi,3 BHK,,1820,3,2,6141000
Super built-up  Area,Ready To Move,Gingoog,3 BHK,PrarePa,1550,2,1,6141000
Super built-up  Area,21-Dec,Sorsogon City,3 BHK,,1693,3,2,6141000
Super built-up  Area,18-Jun,Tabuk,2 BHK,Sodgere,1047,2,1,6141000
Super built-up  Area,Ready To Move,Vigan,3 BHK,BaiseBa,1499,3,2,6141000
Plot  Area,Ready To Move,Roxas,4 Bedroom,Goateds,2400,4,2,6141000
Super built-up  Area,Ready To Move,Lamitan,3 BHK,Kelmsoy,1902,3,2,6141000
Super built-up  Area,Ready To Move,Gapan,3 BHK,,1750,2,2,6141000
Super built-up  Area,19-Dec,Lucena,3 BHK,,1623,3,1,6141000
Super built-up  Area,Ready To Move,Dumaguete,3 BHK,Soazak ,1777.26,3,2,6141000
Built-up  Area,Ready To Move,Passi,6 BHK,Puachal,499,5,0,6141000
Super built-up  Area,Ready To Move,Samal,3 BHK,,1767,3,2,6141000
Super built-up  Area,Ready To Move,Calbayog,3 BHK,Palleon,1530,2,3,6141000
Super built-up  Area,Ready To Move,Calamba,3 BHK,,1830,3,3,6141000
Super built-up  Area,Ready To Move,Ozamiz,2 BHK,,1220,2,1,6141000
Super built-up  Area,Ready To Move,Tuguegarao,3 BHK,Prvanai,1844,3,1,6141000
Super built-up  Area,Ready To Move,General Trias,3 BHK,Dhalsh ,1835,3,3,6141000
Super built-up  Area,Ready To Move,Navotas,3 BHK,PrBayGa,1850,3,2,6141000
Super built-up  Area,Ready To Move,Mandaue,2 BHK,Vaensnd,1308,2,2,6143760
Super built-up  Area,Ready To Move,Talisay,2 BHK,,1308,2,1,6143760
Super built-up  Area,19-Jul,San Carlos,2 BHK,Shateor,1296,2,3,6145140
Super built-up  Area,Ready To Move,Maasin,3 BHK,ARipsul,1300,3,2,6149970
Super built-up  Area,22-Jun,Pasay,2 BHK,PrhyaK ,1132,2,1,6166530
Plot  Area,18-Aug,San Jose del Monte,4 Bedroom,SNityVe,1500,4,1,6172050
Super built-up  Area,Ready To Move,Cabanatuan,3 BHK,Coowsri,1548,3,2,6175500
Super built-up  Area,Ready To Move,Tayabas,3 BHK,PindsWo,1950,2,,6175500
Super built-up  Area,Ready To Move,Lipa,2 BHK,,1350,2,2,6175500
Super built-up  Area,Ready To Move,Tacloban,3 BHK,,1606,3,3,6178950
Super built-up  Area,Ready To Move,Marawi,3 BHK,,1445,2,1,6179640
Super built-up  Area,18-Oct,Bais,3 BHK,Neony H,1450,2,3,6182400
Super built-up  Area,Ready To Move,Cabuyao,3 BHK,,1779,3,2,6183090
Super built-up  Area,19-Sep,Bacoor,2 BHK,,1299,2,1,6184470
Super built-up  Area,Ready To Move,Cotabato City,3 BHK,ThBayah,1615,3,2,6192750
Super built-up  Area,19-Jul,San Juan,2 BHK,Rie 2 P,1300,2,1,6193440
Super built-up  Area,Ready To Move,Talisay,3 BHK,,1830,3,3,6202410
Super built-up  Area,Ready To Move,Sipalay,2 BHK,SNnia E,1290,2,1,6203100
Super built-up  Area,Ready To Move,Santiago,3 BHK,,1500,2,2,6209310
Super built-up  Area,Ready To Move,Carcar,3 BHK,,1540,3,2,6210000
Built-up  Area,Ready To Move,Quezon City,3 Bedroom,ReudePr,1200,3,1,6210000
Super built-up  Area,Ready To Move,Canlaon,3 BHK,,1475,2,3,6210000
Plot  Area,Ready To Move,Dapitan,3 Bedroom,,1200,3,1,6210000
Super built-up  Area,Ready To Move,Santo Tomas,3 BHK,Soeurri,1200,3,0,6210000
Built-up  Area,Ready To Move,Dipolog,2 BHK,Brnia G,1451,2,,6210000
Plot  Area,Ready To Move,Muntinlupa,4 Bedroom,PrarePa,660,4,2,6210000
Built-up  Area,Ready To Move,San Fernando,3 BHK,,1325,2,1,6210000
Super built-up  Area,Ready To Move,Imus,1 BHK,Dhalsh ,600,1,0,6210000
Super built-up  Area,Ready To Move,Ormoc,3 BHK,,1460,2,1,6210000
Plot  Area,Ready To Move,Urdaneta,5 Bedroom,,4360,4,1,6210000
Plot  Area,Ready To Move,Dagupan,4 Bedroom,,1200,4,0,6210000
Super built-up  Area,Ready To Move,Puerto Princesa,3 BHK,SJityVe,1695,3,1,6210000
Built-up  Area,Ready To Move,Caloocan,3 BHK,,1799,3,3,6210000
Plot  Area,Ready To Move,Digos,4 Bedroom,PuoodSk,315,4,2,6210000
Super built-up  Area,Ready To Move,Bago,3 BHK,G ceses,1800,3,3,6210000
Built-up  Area,Ready To Move,Borongan,5 Bedroom,,850,4,2,6210000
Built-up  Area,Ready To Move,Mati,3 BHK,JPoldGo,1480,3,2,6210000
Super built-up  Area,Ready To Move,Tanauan,3 BHK,,1600,3,3,6210000
Plot  Area,Ready To Move,Iloilo City,5 Bedroom,Sryalan,2900,5,2,6210000
Super built-up  Area,Ready To Move,Cabadbaran,3 BHK,PritaDo,1610,3,1,6210000
Built-up  Area,Ready To Move,Pagadian,2 Bedroom,Pride S,1200,2,0,6210000
Plot  Area,Ready To Move,Sagay,5 Bedroom,SJcerpe,900,4,0,6210000
Built-up  Area,Ready To Move,Toledo,3 BHK,,2424,3,2,6210000
Super built-up  Area,Ready To Move,Baybay,2 BHK,,1495,2,2,6210000
Plot  Area,Ready To Move,Marikina,10 Bedroom,,750,10,,6210000
Super built-up  Area,Ready To Move,Antipolo,3 BHK,Chllea ,1480,3,2,6210000
Super built-up  Area,Ready To Move,Manila,3 BHK,,1354,3,1,6210000
Super built-up  Area,Ready To Move,Himamaylan,2 BHK,,1424,2,2,6210000
Super built-up  Area,19-Dec,Iriga,2 BHK,JRaderc,1485,2,1,6210000
Super built-up  Area,Ready To Move,Masbate,3 BHK,VBn 2lm,1470,2,1,6210000
Built-up  Area,Ready To Move,Valenzuela,8 Bedroom,Koagati,1200,8,3,6210000
Plot  Area,Ready To Move,Cauayan,4 Bedroom,Inntsa ,1140,4,1,6210000
Super built-up  Area,Ready To Move,Tangub,3 BHK,Soresea,1075,2,1,6210000
Super built-up  Area,Ready To Move,Surigao,3 BHK,Prionad,1800,3,3,6210000
Super built-up  Area,Ready To Move,Zamboanga City,3 BHK,DStik S,1567,3,3,6210000
Super built-up  Area,Ready To Move,Oroquieta,3 BHK,SNnia E,1550,2,2,6210000
Super built-up  Area,Ready To Move,Mabalacat,3 BHK,,1870,3,2,6210000
Super built-up  Area,Ready To Move,San Pablo,2 BHK,GRlas V,1315,2,2,6210000
Super built-up  Area,Ready To Move,San Jose,3 BHK,,1725,3,3,6210000
Plot  Area,Ready To Move,Batac,3 Bedroom,,1200,3,1,6210000
Built-up  Area,Ready To Move,Malolos,3 BHK,,1340,3,0,6210000
Plot  Area,Ready To Move,Naga,2 Bedroom,Asuilnc,1350,2,0,6210000
